Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Record Type,Longitude,Latitude,Primary NAICS Description,Primary SIC Description
San Pedro Mental Health,Kathrine,Lundy,150 W 7th St,San Pedro,CA,90731,Verified,-118.281013,33.738035,All Other Misc Ambulatory Health Care Services,Health Services
South County Mental Health,Talisha,Racy,802 Brewster Ave # 2,Redwood City,CA,94063,Verified,-122.234231,37.48896,All Other Misc Ambulatory Health Care Services,Health Services
St Andrews Healthcare,Nathaniel,Chivi,2300 W Washington Blvd,Los Angeles,CA,90018,Verified,-118.311783,34.039603,All Other Misc Ambulatory Health Care Services,Health Services
Tivity Health,,,34 Executive Park # 212,Irvine,CA,92614,Verified,-117.859449,33.684749,All Other Misc Ambulatory Health Care Services,Health Services
Tri-City Mental Health Ctr,,,1403 N Garey Ave,Pomona,CA,91767,Verified,-117.752654,34.071693,All Other Misc Ambulatory Health Care Services,Health Services
Tulare County Children's,,,138 S L St,Dinuba,CA,93618,Verified,-119.389315,36.540679,All Other Misc Ambulatory Health Care Services,Health Services
Villa Stanley Inc,Jay,Plotzker,335 N Stanley Ave,Los Angeles,CA,90036,Verified,-118.356519,34.077148,All Other Misc Ambulatory Health Care Services,Health Services
Alohypnotherapy,Ramtin,Pourvasei,18607 Ventura Blvd # 310,Tarzana,CA,91356,Verified,-118.538715,34.17022,All Other Misc Ambulatory Health Care Services,Hypnotherapy
Healing Through Hypnotherapy,Laura A,Donohue,8375 Brentwood Blvd # D,Brentwood,CA,94513,Verified,-121.696425,37.932115,All Other Misc Ambulatory Health Care Services,Hypnotherapy
Integrative Hypnotherapy,Kathy,Stowell,555 Soquel Ave # 260,Santa Cruz,CA,95062,Verified,-122.017597,36.976495,All Other Misc Ambulatory Health Care Services,Hypnotherapy
C D S Facility Svc,Darrell,Mclaughlin,2405 S Stockton St # 3,Lodi,CA,95240,Verified,-121.269976,38.104021,All Other Misc Ambulatory Health Care Services,Medical Emergency Training
County Of Los Angeles,Michael,Mills,4024 Durfee Ave # 225,El Monte,CA,91732,Verified,-118.005456,34.073162,"All Other Professional, Scientific/Technical Svcs",Services NEC
County Of Merced Mental Health,Yvonnia,Brown,1944 M St,Merced,CA,95340,Verified,-120.483002,37.304572,"All Other Professional, Scientific/Technical Svcs",Services NEC
Deltrina Johnson,Deltrina,Johnson,927 Warfield Ave,Oakland,CA,94610,Verified,-122.242627,37.814981,"All Other Professional, Scientific/Technical Svcs",Services NEC
Family Service Agency,Phillip A,Jones,101 S B St # A,Lompoc,CA,93436,Verified,-120.450485,34.638499,"All Other Professional, Scientific/Technical Svcs",Services NEC
Special Service For Groups,,,470 E 3rd St # D,Los Angeles,CA,90013,Verified,-118.240596,34.046219,"All Other Professional, Scientific/Technical Svcs",Services NEC
Toi Ya Be Family Svc,Sheila,Turner,52 N Tu Su Ln,Bishop,CA,93514,Verified,-118.418319,37.362123,"All Other Professional, Scientific/Technical Svcs",Services NEC
Applied Psychology Systems,Penelope,Mc Almond-Ross,313 Kendal St,Vacaville,CA,95688,Verified,-121.989324,38.357774,Child & Youth Services,Counseling Services
Asian American Recovery Svc,Sara,Barnes,2166 Hayes St # 303,San Francisco,CA,94117,Verified,-122.452371,37.773193,Child & Youth Services,Counseling Services
Asj Family Counseling Ctr,,,23632 Calabasas Rd # 103,Calabasas,CA,91302,Verified,-118.642251,34.156156,Child & Youth Services,Counseling Services
Bay Area Trauma Counseling,,,801 Portola Dr # 207,San Francisco,CA,94127,Verified,-122.454095,37.743615,Child & Youth Services,Counseling Services
"Calvi, Barbara",Barbara,Calvi,22231 Mulholland Hwy # 202,Calabasas,CA,91302,Verified,-118.613067,34.14834,Child & Youth Services,Counseling Services
Cameron Park Counseling Ctr,Rose-Marie,Nieto,3330 Heights Dr # 120,Cameron Park,CA,95682,Verified,-120.982839,38.660744,Child & Youth Services,Counseling Services
Center For Behavior Medicine,Michael,Harris,17451 Bastanchury Rd,Yorba Linda,CA,92886,Verified,-117.829957,33.899827,Child & Youth Services,Counseling Services
Central Counseling Svc,Sherry,Pope,6840 Indiana Ave # 275,Riverside,CA,92506,Verified,-117.392049,33.94188,Child & Youth Services,Counseling Services
Clearwater Counseling-Asssmnts,,,345 38th St,Oakland,CA,94609,Verified,-122.258541,37.826066,Child & Youth Services,Counseling Services
Community Family Guidance Ctr,Jessica G,Saldivar,10929 South St # 208b,Cerritos,CA,90703,Verified,-118.101143,33.858406,Child & Youth Services,Counseling Services
Comprehensive Counseling Svc,Rudy,Garza,3636 N 1st St # 141,Fresno,CA,93726,Verified,-119.771529,36.783138,Child & Youth Services,Counseling Services
Didi Hirsch Cmnty Mental Hlth,Oscar,Gonzalez,672 S LA Fayette Park Pl # 6,Los Angeles,CA,90057,Verified,-118.283768,34.060493,Child & Youth Services,Counseling Services
Dr Barbara Gaetano Ph D,Barbara,Gaetano,5440 Morehouse Dr # 3800,San Diego,CA,92121,Verified,-117.201096,32.894144,Child & Youth Services,Counseling Services
Holistic Counseling Systems,Lynda,Latta,11429 Hickory Ave,Hesperia,CA,92345,Verified,-117.323133,34.45827,Child & Youth Services,Counseling Services
Jason Esswein Counseling Svc,Jason,Esswein,3425 S Bascom Ave # 250,Campbell,CA,95008,Verified,-121.944493,37.263224,Child & Youth Services,Counseling Services
Linder Psychiatric Group Inc,Renae,Linder,970 Reserve Dr # E,Roseville,CA,95678,Verified,-121.270027,38.765313,Child & Youth Services,Counseling Services
Mental Health Svc,Arnold,Nerenberg,7238 Painter Ave,Whittier,CA,90602,Verified,-118.032422,33.976046,Child & Youth Services,Counseling Services
Mindful Solutions Mental Hlth,Lorena,Ybanez,7365 Carnelian St # 217-D,Rancho Cucamonga,CA,91730,Verified,-117.614861,34.120521,Child & Youth Services,Counseling Services
Sierra Mental Wellness Group,Jon,Kershner,560 Wall St # D,Auburn,CA,95603,Verified,-121.075077,38.90937,Child & Youth Services,Counseling Services
Sierra Mental Wellness Group,Jon,Kerschner,333 Sunrise Ave # 701,Roseville,CA,95661,Verified,-121.270389,38.740865,Child & Youth Services,Counseling Services
Youth Services,Eileen,Mccormick,709 Mission St,Santa Cruz,CA,95060,Verified,-122.034189,36.973668,Child & Youth Services,Government-Individual/Family Social Svcs
Caminar Vallejo Office,Christopher,Kughn,902 Tuolumne St,Vallejo,CA,94590,Verified,-122.237689,38.10893,Civil & Social Organizations,Organizations
Pathway To Hope,,,,Laguna Hills,CA,92653,Verified,-117.701168,33.601284,Civil & Social Organizations,Organizations
Correctional Mental Health,Adelein,Tsjiuchi,501 The City Dr S,Orange,CA,92868,Verified,-117.888952,33.782698,Correctional Institutions,County Govt-Correctional Institutions
Accident Injury & Family Thrpy,Vivian,Workman,17821 17th St # 250,Tustin,CA,92780,Verified,-117.821259,33.760635,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Accuquest,,,8944 Tampa Ave,Northridge,CA,91324,Verified,-118.553516,34.232665,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
All-Desert Wellness Ctr,Stephen M,Harmon,73726 Alessandro Dr # 201,Palm Desert,CA,92260,Verified,-116.378444,33.722281,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Alma Family Svc,,,149 S Mednik Ave,Los Angeles,CA,90022,Verified,-118.162164,34.035492,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
American College-Behavioral,,,2410 San Ramon Valley Blv #140,San Ramon,CA,94583,Verified,-121.976075,37.775438,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Associated Behavioral Health,,,11858 Bernardo Plaza Ct # 210,San Diego,CA,92128,Verified,-117.076319,33.020768,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
BAK-Physiotherapy Assoc Inc,,,805 Veterans Blvd,Redwood City,CA,94063,Verified,-122.228843,37.491356,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Balance Treatment Corp,Ronald,Sager,4505 Las Virgenes Rd # 202,Calabasas,CA,91302,Verified,-118.701337,34.14036,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Barbour & Floyd,,,2620 Industry Way,Lynwood,CA,90262,Verified,-118.225449,33.923298,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
"Barbour, Jack M",Jack M,Barbour,2620 Industry Way,Lynwood,CA,90262,Verified,-118.225449,33.923298,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Becton Halthcare Resources Inc,,,5674 Stoneridge Dr # 206,Pleasanton,CA,94588,Verified,-121.887526,37.690344,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Behavioral Concepts,,,23151 Verdugo Dr # 113,Laguna Hills,CA,92653,Verified,-117.729354,33.625771,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Behavioral Re-Integration Prgm,,,5349 Crenshaw Blvd,Los Angeles,CA,90043,Verified,-118.3313,33.993534,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Bernous Psychological Corp,,,1101 Dove St,Newport Beach,CA,92660,Verified,-117.865142,33.660011,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Bienvenidos,,,256 W Badillo St,Covina,CA,91723,Verified,-117.894082,34.085945,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Bloss Clinic,Tena,Alonzo,1251 Grove Ave # A,Atwater,CA,95301,Verified,-120.607129,37.350948,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
C A R E S,,,506 W Aten Rd,Imperial,CA,92251,Verified,-115.57981,32.826214,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
California Behavior Solutions,,,91 Gregory Ln # 20,Pleasant Hill,CA,94523,Verified,-122.06181,37.94856,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
California Healthcare Mgmt Grp,,,17003 Ventura Blvd,Encino,CA,91316,Verified,-118.503622,34.159891,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
California Psych Care,,,7226 Sepulveda Blvd,Van Nuys,CA,91405,Verified,-118.46583,34.201972,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Caminar Corp,,,1 Ardenwood Way,San Francisco,CA,94132,Verified,-122.472249,37.735775,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
CARD,Julie,Tran,12399 Lewis St # 202,Garden Grove,CA,92840,Verified,-117.89864,33.783311,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Carol Wong Ph D,Carol,Wong,415 N San Mateo Dr # 3,San Mateo,CA,94401,Verified,-122.333309,37.572463,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Center,Tabitha,Weeda,3090 M St,Merced,CA,95348,Verified,-120.477917,37.31886,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Center For Autism & Related,Kathy,Dalke,27127 Calle Arroyo # 1921,San Juan Capistrano,CA,92675,Verified,-117.656228,33.499106,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Center For Individual Family,,,7177 Brockton Ave # 226,Riverside,CA,92506,Verified,-117.39512,33.942482,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Center For Positive Solutions,,,26300 LA Alameda # 280,Mission Viejo,CA,92691,Verified,-117.670643,33.563614,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Centro Jordan De Hipnoterapia,,,5107 Hollywood Blvd,Los Angeles,CA,90027,Verified,-118.30077,34.101801,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Champion Medical Group,Claudia,Otro,1711 W Temple St # 3600,Los Angeles,CA,90026,Verified,-118.263284,34.069787,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Child Guidance Clinic,Linda,Hoyle,3628 Stockdale Hwy,Bakersfield,CA,93309,Verified,-119.044901,35.355014,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Child Guidance Clinic,Marcie,Lesser,1430 6th Ave,Delano,CA,93215,Verified,-119.237175,35.76444,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Claudia Cerda Psy D,Claudia,Cerda,5588 N Palm Ave,Fresno,CA,93704,Verified,-119.807931,36.818874,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Clinica Sierra Vista Selpa,,,455 Kern St,Shafter,CA,93263,Verified,-119.272664,35.504766,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Clinicas Del Camino Real,Paula,Hurtado,200 S Wells Rd # 200,Ventura,CA,93004,Verified,-119.159071,34.29357,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Clinicas Del Camino Real Inc,Sonia,Mata,1200 N Ventura Rd # E,Oxnard,CA,93030,Verified,-119.194202,34.214351,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Clinicas Del Camino Real Inc,Laura,Aguiniga,450 W Clara St,Oxnard,CA,93033,Verified,-119.182216,34.151145,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Clinicas Del Camino Real-El,Roberto S,Juarez,221 E Ventura Blvd # 126,Oxnard,CA,93036,Verified,-119.170804,34.23112,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Collaborative Neuro Science,,,,Westminster,CA,92683,Verified,-117.995853,33.755013,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Community Behavorial Health,John,Ledoux,7071 Consolidated Way,San Diego,CA,92121,Verified,-117.16186,32.878402,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Community Consultants Med Grp,Joana,Galvan,17403 Woodruff Ave,Bellflower,CA,90706,Verified,-118.117338,33.87462,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Community Psychiatry,P,Priyanka,7750 N Fresno St # 104,Fresno,CA,93720,Verified,-119.783411,36.851382,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Community Psychiatry Assoc,Rebecca,Ridens,1000 River Rock Dr # 210,Folsom,CA,95630,Verified,-121.195378,38.67855,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Community Psychiatry Assoc,Marina,Berb,2180 Harvard St # 210,Sacramento,CA,95815,Verified,-121.434518,38.60604,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Community Psychiatry Assoc,,,7510 Shoreline Dr # A6,Stockton,CA,95219,Verified,-121.35869,38.018884,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Communniy Psychiatry,,,1241 Alamo Dr,Vacaville,CA,95687,Verified,-121.991689,38.341385,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Comprehensive Psychiatric Svc,Harvey J,Widroe,455 Hickey Blvd # 414,Daly City,CA,94015,Verified,-122.466967,37.663158,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Conejo Children's Svc,Ophra,Shur,72 Moody Ct # 201,Thousand Oaks,CA,91360,Verified,-118.865707,34.178361,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Connections Adolescent Day Tre,,,3491 Elm Ave,Long Beach,CA,90807,Verified,-118.188231,33.820301,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
County Of Butte,Amy,Wilner,109 Parmac Rd # 1,Chico,CA,95926,Verified,-121.850026,39.753532,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
County Of Merced,Yvonnia,Brown,480 E 13th St,Merced,CA,95341,Verified,-120.471005,37.29165,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
County-Los Angeles-Mental Hlth,Camille C,Baclagan,12440 Imperial Hwy # 116,Norwalk,CA,90650,Verified,-118.065675,33.915744,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Darin M Camarena Health Ctr,Anna,Camerena,401 Trinity Ave,Chowchilla,CA,93610,Verified,-120.260869,37.120624,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Darin M Camarena Health Ctr,Sandra,Martin,344 E 6th St,Madera,CA,93638,Verified,-120.055351,36.962494,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
De Brito Professional Med Corp,Dirk,DE Brito,751 N Fair Oaks Ave # 300,Pasadena,CA,91103,Verified,-118.151052,34.158871,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Del Valle Clinic,,,1797 4th St,Livermore,CA,94550,Verified,-121.772667,37.67795,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Desert Counseling Clinic Inc,,,2105 F St,Bakersfield,CA,93301,Verified,-119.02385,35.378433,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Dialectical Behavioral Therapy,Pinh,Brown,9666 Businesspark Ave # 105,San Diego,CA,92131,Verified,-117.112919,32.898262,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Didi Hirsch Cmnty Mental Hlth,Kita,Curry,4760 Sepulveda Blvd,Culver City,CA,90230,Verified,-118.403787,34.001591,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Didi Hirsch Mental Svc,Didi,Hirsch,2000 E 4th St # 110,Santa Ana,CA,92705,Verified,-117.838666,33.747679,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Dr Reef Inc,Reef,Karim,8383 Wilshire Blvd # 228,Beverly Hills,CA,90211,Verified,-118.373465,34.065013,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Drake Institute,Jeff,Countz,4330 Barranca Pkwy # 130,Irvine,CA,92604,Verified,-117.804587,33.681124,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Dunamis Inc,,,4991 E Mckinley Ave,Fresno,CA,93727,Verified,-119.727774,36.765875,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Eggleston Mental Health Svc,,,3701 Stocker St,View Park,CA,90008,Verified,-118.337501,34.007543,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Encompass Community Svc,Jan,Hilkert,3035 Prather Ln,Santa Cruz,CA,95065,Verified,-121.977004,36.988885,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Exodus Recovery,Tamara,Stark,550 W Vista Way # 109,Vista,CA,92083,Verified,-117.253527,33.195611,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
Family Education & Resource,,,,Livermore,CA,94551,Verified,-121.767302,37.698706,Freestanding Ambulatory Surgical & Emergency Ctrs,Clinics
